gem_name,dependency_type,count
sprout-as3-bundle,runtime,4
spree_core,runtime,4
rush,runtime,4
rack-client,runtime,4
rhodes-framework,runtime,4
castle.dynamicproxy2,runtime,4
rubytree,runtime,4
rack-webmoney,runtime,4
systemu,runtime,4
ms-in_silico,runtime,4
vapir-common,runtime,4
bourne,development,4
resourceful,runtime,4
ezcrypto,runtime,4
rhodes-build,runtime,4
tlsmail,runtime,4
marc4j4r,runtime,4
VanaTime,runtime,4
sinatra-compass,runtime,4
gmailer,runtime,4
utilrb,runtime,4
geminstaller,runtime,4
restfully,runtime,4
chriseppstein-compass,runtime,4
simple_form,runtime,4
fuzzyhash,runtime,4
shattered_pack,runtime,4
rtm-tinytim,runtime,4
tem_multi_proxy,runtime,4
ruby_protobuf,runtime,4
sdbtools,runtime,4
boxgrinder-build-rhel-os-plugin,runtime,4
active_merchant,runtime,4
jeweler,runtime,4
hoptoad_notifier,runtime,4
guid,runtime,4
hoe-git,development,4
yamltest,development,4
monster_mash,runtime,4
roles_generic,runtime,4
live_console,runtime,4
trinidad_jars,runtime,4
solr-ruby,runtime,4
temple,runtime,4
dictionary,runtime,4
ci_reporter,runtime,4
rtm,runtime,4
voloko-sdoc,development,4
jeremymcanally-matchy,development,4
pivotal-tracker,runtime,4
dbi,runtime,4
gdata4ruby,runtime,4
rhodes-generator,runtime,4
mysql2,runtime,4
lighthouse-api,runtime,4
open4,development,4
liquid,development,4
eventmachine,development,4
sourcify,runtime,4
highline,development,4
xmpp4r-simple,runtime,4
term-ansicolor,development,4
erlectricity,runtime,4
test-spec,development,4
has_scope,runtime,4
ruby-prof,runtime,4
hitimes,runtime,4
rdf-raptor,runtime,4
rawr,runtime,4
httpclient,development,4
feed-normalizer,runtime,4
sass,runtime,4
flay,runtime,4
fcgi,runtime,4
migration_assist,runtime,4
boxgrinder-build,runtime,4
ruby-net-ldap,runtime,4
radius,runtime,4
ms-core,runtime,4
tidy,runtime,4
spidr,runtime,4
flickraw,runtime,4
active_wrapper,runtime,4
do_jdbc,runtime,4
calendar_date_select,runtime,4
paginator,runtime,4
jekyll,development,4
do_postgres,runtime,4
dm-more,runtime,4
rsence-deps,runtime,4
watchr,runtime,4
acts_as_reportable,runtime,4
sprout-flex4sdk-tool,runtime,4
zucker,runtime,4
sinatra-rdiscount,runtime,4
will_paginate,development,4
hoe-yard,development,4
dragonfly,runtime,4
thrift_client,runtime,4
r3_plugin_toolbox,runtime,4
exemplor,development,4
blankslate,runtime,4
rails-app-spec,runtime,4
ruby-growl,runtime,4
ramaze,development,4
fabulator-exhibit,runtime,4
daemonizer,runtime,4
thrift,runtime,4
sinatra-sinatra,runtime,4
configuration,development,4
madeleine,runtime,4
snmp,runtime,4
database_cleaner,runtime,4
feedtools,runtime,4
jquery-rails,runtime,4
rio,runtime,4
trinidad,runtime,4
sinatra-reloader,runtime,4
validatable,runtime,4
win32screenshot,runtime,4
protest,development,4
technicalpickles-jeweler,development,4
browsercms,runtime,4
pickle,runtime,4
rr,runtime,4
redcloth,runtime,4
zerg_support,runtime,4
distil,runtime,4
color-tools,runtime,4
options,runtime,4
jdbc-h2,runtime,4
core_ex,runtime,4
do_mysql,runtime,4
sequel_model,runtime,4
radiant-images-extension,runtime,4
compass,development,4
twitter-stream,runtime,4
dr_nic_magic_models,runtime,4
kwalify,runtime,4
jdbc-sqlite3,runtime,4
shattered_ogre,runtime,4
sax-machine,runtime,4
cairo,runtime,4
treetop,development,4
rakegen,runtime,4
mixlib-config,runtime,4
cassandra,runtime,4
s4t-utils,runtime,4
ffi-tk,runtime,4
callsite,runtime,4
capistrano-ext,runtime,4
patron,development,4
yahoo,runtime,4
rubylexer,runtime,4
savon,development,4
ccsv,runtime,4
isolate,development,4
erector,runtime,4
oyster,runtime,4
ohm,runtime,4
dfect,development,4
groonga,runtime,4
serialport,runtime,4
rmagick,development,4
lportal,runtime,4
pancake,runtime,4
algorithms,runtime,3
artifice,development,3
mongo,development,3
nio,runtime,3
acts_as_constant,runtime,3
rdp-win32screenshot,runtime,3
redhillonrails_core,runtime,3
faye,runtime,3
reportbuilder,runtime,3
fcoury-octopi,runtime,3
dummy,runtime,3
simplecov,runtime,3
svn-fixture,runtime,3
tenjin,development,3
svutil,runtime,3
coffee-script,runtime,3
smparkes-johnson,runtime,3
timecode,runtime,3
PriorityQueue,runtime,3
dslkit,runtime,3
capistrano,development,3
smoke,runtime,3
thoughtbot-shoulda,runtime,3
marcspec,runtime,3
rack-flash,runtime,3
slippers,development,3
rtaglib,runtime,3
file-spec,runtime,3
ruby-breakpoint,runtime,3
textpow,runtime,3
youtube-g,runtime,3
ruby-prof,development,3
attic,runtime,3
svg-graph,runtime,3
deprecated,runtime,3
compass-slickmap,runtime,3
tmail,development,3
irt,development,3
rap,runtime,3
reek,runtime,3
wirble,runtime,3
gurgitate-mail,runtime,3
carrierwave,runtime,3
rack-accept-media-types,runtime,3
any_view,runtime,3
ParseTree,development,3
perftools.rb,runtime,3
rack-datamapper,runtime,3
twitter,development,3
roodi,development,3
test-construct,development,3
boss,runtime,3
guilded,runtime,3
net-dns,runtime,3
ucb_ldap,runtime,3
text,runtime,3
assistance,runtime,3
yui-compressor,development,3
rubyexts,runtime,3
twitter_oauth,runtime,3
multi_xml,development,3
sishen-rtranslate,runtime,3
mack-orm_common,runtime,3
logworm,development,3
barby,runtime,3
ruby-stemmer,runtime,3
gravitext-util,runtime,3
miniunit,runtime,3
Selenium,runtime,3
bitly,runtime,3
ffi-rzmq,runtime,3
rest_client,runtime,3
Shoulda,development,3
background_process,runtime,3
object2module,runtime,3
couchrest_model,runtime,3
exvo-auth,runtime,3
scruffy,runtime,3
ptools,runtime,3
splat,runtime,3
git,development,3
octopi,runtime,3
